startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,HKTimeZone,HKWeatherTemperature,HKAverageMETs,HKWeatherHumidity
2020-01-02 19:07:35 +0000,2020-01-02 19:54:24 +0000,TraditionalStrengthTraining,2808.91798,sec,507.866 kcal,,America/New_York,51 degF,8.799,5000
2020-01-08 22:09:46 +0000,2020-01-08 23:21:25 +0000,TraditionalStrengthTraining,4298.809736,sec,800.252 kcal,,America/New_York,53 degF,9.07167,3000
2020-01-11 00:59:26 +0000,2020-01-11 01:01:47 +0000,TraditionalStrengthTraining,140.957251,sec,10.2809 kcal,,America/New_York,50 degF,2.76066,8100
2020-01-12 19:24:57 +0000,2020-01-12 20:18:07 +0000,TraditionalStrengthTraining,3190.538178,sec,746.908 kcal,,America/New_York,70 degF,11.2392,4900
2020-01-19 21:01:22 +0000,2020-01-19 21:12:19 +0000,TraditionalStrengthTraining,656.384236,sec,94.0737 kcal,,America/New_York,49 degF,6.54098,2900
2020-01-22 22:01:39 +0000,2020-01-22 22:59:14 +0000,TraditionalStrengthTraining,3454.704388,sec,737.349 kcal,,America/New_York,40 degF,10.41,3300
2020-02-09 17:14:49 +0000,2020-02-09 18:10:54 +0000,TraditionalStrengthTraining,3364.484733,sec,632.974 kcal,,America/New_York,48 degF,9.16067,4500
2020-02-13 22:31:31 +0000,2020-02-13 23:02:54 +0000,TraditionalStrengthTraining,1883.490472,sec,282.433 kcal,,America/New_York,62 degF,6.98039,8400
2020-02-23 19:11:42 +0000,2020-02-23 19:23:20 +0000,TraditionalStrengthTraining,697.730631,sec,166.598 kcal,,America/New_York,60 degF,11.6429,2700
2020-03-01 19:24:24 +0000,2020-03-01 19:58:06 +0000,TraditionalStrengthTraining,2021.912861,sec,283.771 kcal,,America/New_York,55 degF,6.01583,2000
2020-03-04 22:35:51 +0000,2020-03-04 23:26:31 +0000,TraditionalStrengthTraining,3039.452051,sec,508.696 kcal,,America/New_York,58 degF,8.00512,3400
2020-06-20 21:50:11 +0000,2020-06-20 21:56:38 +0000,TraditionalStrengthTraining,387.5356231,sec,61.7097 kcal,,America/New_York,81 degF,7.88961,5900
2020-09-15 00:34:25 +0000,2020-09-15 00:51:13 +0000,TraditionalStrengthTraining,1008.341631,sec,148.826 kcal,,America/New_York,70 degF,6.59425,8500
2020-09-18 01:32:01 +0000,2020-09-18 01:59:33 +0000,TraditionalStrengthTraining,1651.996138,sec,224.323 kcal,,America/New_York,64.4 degF,5.85569,9800
2020-09-22 19:03:01 +0000,2020-09-22 19:12:16 +0000,TraditionalStrengthTraining,364.3976641,sec,49.5848 kcal,,America/New_York,68 degF,4.8968,4700
2020-10-06 20:34:46 +0000,2020-10-06 21:23:59 +0000,TraditionalStrengthTraining,2953.503009,sec,427.447 kcal,,America/New_York,73.4 degF,6.30974,5100
2020-10-09 19:19:06 +0000,2020-10-09 19:20:27 +0000,TraditionalStrengthTraining,80.91777504,sec,11.0272 kcal,,America/New_York,69.8 degF,7.35702,6200
2020-10-13 02:53:13 +0000,2020-10-13 03:04:05 +0000,TraditionalStrengthTraining,652.367244,sec,123.769 kcal,,America/New_York,64.4 degF,9.42092,9700
2020-10-21 00:01:30 +0000,2020-10-21 00:29:38 +0000,TraditionalStrengthTraining,1687.673531,sec,320.548 kcal,,America/New_York,62.6 degF,9.38163,8700
2020-10-21 18:52:55 +0000,2020-10-21 19:30:51 +0000,TraditionalStrengthTraining,2275.802245,sec,373.148 kcal,,America/New_York,78.8 degF,7.46231,6000
2020-10-25 00:58:16 +0000,2020-10-25 01:22:27 +0000,TraditionalStrengthTraining,1450.742923,sec,240.513 kcal,,America/New_York,69.8 degF,7.9329,8300
2020-10-27 20:46:17 +0000,2020-10-27 21:24:29 +0000,TraditionalStrengthTraining,2291.072675,sec,380.266 kcal,,America/New_York,69.8 degF,7.73463,7400
2020-10-31 01:49:36 +0000,2020-10-31 02:25:24 +0000,TraditionalStrengthTraining,2023.691131,sec,273.531 kcal,,America/New_York,48.2 degF,5.67939,6000
2020-10-31 17:24:11 +0000,2020-10-31 17:51:32 +0000,TraditionalStrengthTraining,1641.391616,sec,289.28 kcal,,America/New_York,53.6 degF,8.48656,5400
2020-11-02 02:30:33 +0000,2020-11-02 02:53:11 +0000,TraditionalStrengthTraining,1357.889894,sec,191.985 kcal,,America/New_York,53.6 degF,6.4295,3000
2020-11-04 01:31:37 +0000,2020-11-04 02:02:00 +0000,TraditionalStrengthTraining,1823.131451,sec,339.876 kcal,,America/New_York,44.6 degF,9.27341,6900
2020-11-05 00:51:53 +0000,2020-11-05 01:09:42 +0000,TraditionalStrengthTraining,1069.074149,sec,190.884 kcal,,America/New_York,48.2 degF,8.84416,6800
2020-11-05 21:34:52 +0000,2020-11-05 22:01:04 +0000,TraditionalStrengthTraining,1572.282956,sec,240.815 kcal,,America/New_York,66.2 degF,6.96734,4700
2020-11-08 21:18:16 +0000,2020-11-08 21:44:06 +0000,TraditionalStrengthTraining,1550.369989,sec,247.365 kcal,,America/New_York,71.6 degF,7.3297,6000
2020-11-11 02:36:42 +0000,2020-11-11 02:51:24 +0000,TraditionalStrengthTraining,881.726464,sec,107.583 kcal,,America/New_York,64.4 degF,5.07162,9800
2020-11-11 03:06:22 +0000,2020-11-11 03:42:03 +0000,TraditionalStrengthTraining,2141.226594,sec,415.613 kcal,,America/New_York,64.4 degF,9.43047,9900
2020-11-12 01:44:59 +0000,2020-11-12 02:12:41 +0000,TraditionalStrengthTraining,1662.192891,sec,313.216 kcal,,America/New_York,69.8 degF,9.03499,10000
2020-11-12 21:07:52 +0000,2020-11-12 21:46:56 +0000,TraditionalStrengthTraining,2343.994362,sec,339.717 kcal,,America/New_York,64.4 degF,6.58201,9700
2020-11-14 21:22:23 +0000,2020-11-14 21:58:57 +0000,TraditionalStrengthTraining,2194.206082,sec,375.926 kcal,,America/New_York,62.6 degF,8.16991,4800
2020-11-15 22:01:43 +0000,2020-11-15 22:51:25 +0000,TraditionalStrengthTraining,2981.515776,sec,484.876 kcal,,America/New_York,69.8 degF,7.47129,6900
2020-11-16 21:09:48 +0000,2020-11-16 21:50:23 +0000,TraditionalStrengthTraining,2434.369666,sec,456.649 kcal,,America/New_York,59 degF,9.05608,2400
2020-11-17 22:08:13 +0000,2020-11-17 23:01:35 +0000,TraditionalStrengthTraining,3201.583552,sec,636.902 kcal,,America/New_York,51.8 degF,9.59053,2900
2020-11-19 16:35:12 +0000,2020-11-19 17:16:07 +0000,TraditionalStrengthTraining,2455.380796,sec,331.248 kcal,,America/New_York,50 degF,5.73689,3900
